trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
460,False,"{'a': 0.45, 'e': 0.10076139326830373}",30,20,16.666134667376344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.45, 'e': 0.1002588437228037}",25,6,31.020059495048063,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.45, 'e': 0.09975880065361863}",20,12,3.971837712393505,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
463,False,"{'a': 0.45, 'e': 0.09926125155964566}",20,9,19.89331922389021,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.45, 'e': 0.09876618400213154}",20,10,18.670196431822077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.45, 'e': 0.09827358560436154}",25,11,4.520231485784636,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
466,False,"{'a': 0.45, 'e': 0.09778344405135005}",20,13,13.032689352948344,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.45, 'e': 0.09729574708953276}",30,21,17.1566105422713,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.45, 'e': 0.09681048252646021}",20,12,16.4823238227671,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.45, 'e': 0.09632763823049303}",20,12,14.314146318709009,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.45, 'e': 0.09584720213049865}",25,15,15.652961967122005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.45, 'e': 0.09536916221554961}",20,16,8.084446308883606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.45, 'e': 0.09489350653462311}",20,5,28.81902765634656,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.45, 'e': 0.09442022319630235}",20,16,8.62845292243263,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.45, 'e': 0.09394930036847918}",30,21,9.397323787332258,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.45, 'e': 0.09348072627805847}",25,16,2.8460105712984616,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
476,False,"{'a': 0.45, 'e': 0.09301448921066349}",25,7,17.729452781863856,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
477,False,"{'a': 0.45, 'e': 0.09255057751034329}",20,16,9.053836258849671,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.45, 'e': 0.09208897957928115}",30,16,26.343121870813846,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.45, 'e': 0.09162968387750484}",25,17,15.448415201394612,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.45, 'e': 0.09117267892259785}",20,14,12.328276055579767,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.45, 'e': 0.09071795328941251}",30,15,31.387726755384605,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.45, 'e': 0.09026549560978427}",30,20,20.52053955627985,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.45, 'e': 0.08981529457224763}",20,16,8.287293012120285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.45, 'e': 0.08936733892175319}",25,16,-25.74955354567612,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
485,False,"{'a': 0.45, 'e': 0.08892161745938634}",35,13,31.792134111699433,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
486,False,"{'a': 0.45, 'e': 0.08847811904208727}",25,20,11.652249532381727,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.45, 'e': 0.08803683258237255}",20,7,24.369752543777686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.45, 'e': 0.08759774704805763}",30,13,30.72411252950664,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,False,"{'a': 0.45, 'e': 0.0871608514619813}",30,19,-12.870875360353935,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
490,False,"{'a': 0.45, 'e': 0.08672613490173114}",25,13,21.81909564407034,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.45, 'e': 0.0862935864993705}",20,15,8.568369051971942,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,False,"{'a': 0.45, 'e': 0.08586319544116683}",20,11,17.045155735350253,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
493,False,"{'a': 0.45, 'e': 0.08543495096732123}",30,14,31.141231354088113,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.45, 'e': 0.08500884237169956}",20,0,12.760128647099986,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
495,False,"{'a': 0.45, 'e': 0.08458485900156469}",30,18,21.386947858315757,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,False,"{'a': 0.45, 'e': 0.08416299025731036}",35,20,20.3315151756631,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
497,False,"{'a': 0.45, 'e': 0.08374322559219596}",20,11,18.064014821787726,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.45, 'e': 0.083325554512083}",20,10,17.23252622510624,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
499,False,"{'a': 0.45, 'e': 0.08290996657517266}",25,7,15.67357787744108,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
500,False,"{'a': 0.45, 'e': 0.08249645139174498}",20,7,22.491958049917592,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.45, 'e': 0.0820849986238988}",30,15,26.25243837199327,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.45, 'e': 0.08167559798529346}",25,14,22.46777328477097,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.45, 'e': 0.08126823924089167}",25,7,30.912395429654087,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.45, 'e': 0.08086291220670366}",20,12,11.056091568527954,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.45, 'e': 0.08045960674953244}",20,0,21.6361285512726,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
506,False,"{'a': 0.45, 'e': 0.08005831278672054}",30,16,25.61701162886514,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.45, 'e': 0.07965902028589801}",25,8,32.3615716782177,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.45, 'e': 0.07926171926473155}",20,10,6.505686315848461,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
509,False,"{'a': 0.45, 'e': 0.07886639979067495}",30,3,-15.061689304535093,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
510,False,"{'a': 0.45, 'e': 0.07847305198072073}",35,18,27.419777447517248,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
